B001GVISJM,B004ZIER34,B007JFMH96,B0041NYV8E,B007I7Z3Z0,B004MO6NI8,B000HDL1P8,B000LQORIY,B000LKZ86K,B0015V8EOW,B002IEVJRY,B004SJ8IUI,B007JFMIWW,B002TMV3CG,B003XDH6M6,B006BXV176,B007I7YZJK,NaN,NaN,NaN
B001GVISJM,B000G6RYNE,B001CWZXIY,B00139TT72,B001CD1VI4,B00284TR82,B0058AMY74,B001EO5TMK,B000HP7KEW,B0040PYX90,B0041NYV8E,B0012XBD7I,B0029NWW5W,B002IEZJMA,B000G6MBUA,B007RTR9E2,B000FPGZFY,B0029NNCWE,B00472I5A4,B002LANN56
B001GVISJM,B000HB9TLI,B001FA1DYG,B001EQ5OSM,B0029JW9JU,B000GZY9HY,B0029JW8T6,B0007WGVBI,B0029JZQMC,B000MQSJB4,B0029JW96I,B000FAIR96,B001EO5U7E,B000LKW1BA,B001E5E3AI,B000ET4SM8,B004078WRW,B0049D3X3U,B003XUL1V6,B001M0ALII
B001EO5QW8,B001H0FHXW,B001H0FI22,B000ZT12NK,B008BLFCK8,B000EMM9WG,B008RWUKXK,B0049IUUCM,B005IW4WFY,B008RWUHA6,B004DIR3TQ,B001H0FHZA,B0016PC4TS,B001H0FI36,B001H0FI0O,NaN,NaN,NaN,NaN,NaN
B001EO5QW8,B000KND8RY,B0035MV4ZK,B000FL521G,B001VNOG5U,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001EO5QW8,B002Z08RIA,B000MIFRY4,B0034EDLS2,B0034EDMCW,B002YLI9E2,B0034EDMLI,B0034EDM2W,B0034EFIYC,B002YLGAIO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001EO5QW8,B000FDMLVS,B000EMK56I,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001EO5QW8,B001E5E20O,B001BDDTB2,B001BDDTB2,B004R8J8E0,B0029NUYZW,B000633V3O,B001E6IZVU,B0029NWW5W,B001E6K6GW,B004JRKEH4,B001OCKIP0,B002LANN56,B004YV80OE,B003P9XGE0,B003P9XG3G,B001BCVY9W,B001BCVY9W,B000NVBVIQ,B003E728CE
B001EO5QW8,B000GZYAT6,B000DZFMEQ,B000MICPSA,B001EQ5NJM,B000CQ4D3C,B000F0JOVG,B000CQ01NS,B000NMJWZO,B000LKZ3GA,B000EVWQZW,B000K8R578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001EO5QW8,B001RVFDOO,B000EM6PC6,B0045XE32E,B001BDDTB2,B001BDDTB2,B002BCE9JS,B000ED7M1S,B000GW46D4,B0041NYV8E,B004CYLW7A,B002IEZJMA,B000G82L62,B000EQX7CI,B000ZT12NK,B007RTR8AM,B000JWZQGW,B000ITUEBS,B001LG940E,B003TNANSO
B001EO5QW8,B00063KO34,B003D4EW8G,B005GRCWDU,B005GXHKSG,B003DOPI6Q,B005GX8MMO,B000GPXIEY,B005GX00BK,B005GTWCTM,B003D4EWOK,B003E5IQW2,B001E5E0D8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
